0,Emotion,Confidence,Room,Device
3/26/2025 11:44:55,Neutral,0,Entrance,
3/26/2025 11:44:55,Neutral,0,Entrance,
3/26/2025 11:47:37,Happy,34.45,Entrance,
3/26/2025 11:55:45,Neutral,0,Entrance,
3/26/2025 11:56:55,Happy,35.35,Gallery 1,
3/26/2025 11:59:31,Neutral,0,Entrance,
3/26/2025 11:59:41,Happy,65.36,Entrance,
3/26/2025 12:01:26,Angry,33.85,Restrooms,
3/26/2025 12:06:14,Neutral,0,Entrance,
3/26/2025 12:06:41,Happy,33.99,Entrance,
3/26/2025 12:07:55,Neutral,33.41,Gallery 1,
3/26/2025 12:08:10,Sad,34.21,Gallery 1,
3/26/2025 12:08:25,Happy,63.24,Gallery 1,
3/26/2025 12:09:41,Sad,31.39,Gallery 1,
3/26/2025 12:10:56,Neutral,34.29,Gallery 1,
3/26/2025 12:11:41,Happy,67.16,Gallery 1,
3/26/2025 12:15:18,Neutral,0,Entrance,
3/26/2025 12:18:53,Neutral,0,Entrance,
3/26/2025 12:20:46,Sad,34.4,Entrance,
3/26/2025 12:22:27,Neutral,0,Entrance,
3/26/2025 12:28:32,Neutral,0,Entrance,
3/26/2025 12:29:33,Neutral,0,Entrance,
3/26/2025 13:01:08,Neutral,0,Entrance,
3/26/2025 13:01:54,Happy,43.29,Entrance,
3/26/2025 13:41:35,Neutral,0,Entrance,
3/26/2025 13:42:52,Neutral,0,Entrance,
3/26/2025 14:01:55,Neutral,0,Entrance,
3/26/2025 14:03:47,Neutral,0,Entrance,
3/26/2025 14:07:16,Neutral,0,Entrance,
3/26/2025 14:08:55,Neutral,0,Entrance,
3/26/2025 14:09:05,Fear,43.94,Entrance,
3/26/2025 14:09:33,Neutral,0,Entrance,
3/26/2025 14:09:45,Fear,33.36,Entrance,
3/26/2025 14:11:41,Sad,41.05,Entrance,
3/26/2025 14:11:41,Neutral,41.05,Entrance,
3/26/2025 14:11:54,Neutral,0,Entrance,
3/26/2025 14:12:29,Sad,48.29,Entrance,
3/26/2025 14:12:29,Neutral,48.29,Entrance,
3/26/2025 14:12:48,Neutral,0,Entrance,
3/26/2025 14:13:36,Happy,32.06,Entrance,
3/26/2025 14:13:59,Fear,30.22,Entrance,
3/26/2025 14:14:13,Neutral,35.49,Entrance,
3/26/2025 14:14:28,Fear,34.54,Entrance,
3/26/2025 14:14:58,Angry,47,Entrance,
3/26/2025 14:15:03,Neutral,0,Entrance,
3/26/2025 14:15:31,Neutral,0,Entrance,
3/26/2025 14:16:13,Fear,41.93,Entrance,
3/26/2025 14:16:43,Angry,36.38,Entrance,
3/26/2025 14:17:28,Surprise,34.61,Gallery 1,
3/26/2025 15:43:48,Neutral,0,Entrance,
3/26/2025 16:28:12,Neutral,0,Entrance,
3/26/2025 16:29:10,Happy,30.71,Gallery 1,
3/26/2025 16:42:52,Neutral,0,Entrance,
3/26/2025 16:43:33,Neutral,0,Entrance,
3/26/2025 16:45:29,Neutral,0,Entrance,
3/26/2025 16:46:42,Neutral,0,Entrance,
3/26/2025 16:47:19,Happy,33.75,Entrance,
3/26/2025 16:54:58,Fear,36.17,Gallery 1,
3/26/2025 16:55:48,Neutral,0,Entrance,
3/26/2025 17:58:18,Neutral,0,Entrance,
3/26/2025 18:01:32,Sad,30.58,Entrance,
3/26/2025 19:22:40,Neutral,0,Entrance,
3/26/2025 19:22:51,Sad,30.22,Entrance,
3/26/2025 19:23:20,Happy,51.59,Entrance,
3/26/2025 19:23:35,Sad,30.16,Entrance,
3/26/2025 19:52:19,Fear,39.79,Gallery 3,
3/26/2025 20:22:20,Neutral,0,Entrance,
3/26/2025 20:41:27,Neutral,0,Entrance,
3/26/2025 20:54:35,Neutral,0,Entrance,
3/26/2025 20:55:04,Sad,30.42,Entrance,
3/26/2025 21:11:24,Neutral,0,Entrance,
3/26/2025 21:12:38,Sad,34.77,Entrance,
3/26/2025 21:12:38,Neutral,34.77,Entrance,
3/26/2025 21:13:07,Neutral,0,Entrance,
3/26/2025 21:13:59,Neutral,0,Entrance,
3/26/2025 21:20:35,Neutral,0,Entrance,
3/26/2025 21:58:04,Neutral,0,Entrance,
3/26/2025 22:22:43,Neutral,0,Entrance,
3/26/2025 22:22:52,Fear,30.57,Entrance,
3/26/2025 23:27:08,Neutral,0,Entrance,
3/26/2025 23:27:19,Neutral,0,Entrance,
3/27/2025 0:44:06,Neutral,0,Entrance,
3/27/2025 2:31:12,Neutral,0,Entrance,
3/27/2025 3:02:15,Neutral,0,Entrance,
3/27/2025 12:35:17,Neutral,0,Entrance,
3/27/2025 12:36:07,Neutral,0,Entrance,
3/27/2025 12:37:05,Happy,37.53,Entrance,
3/27/2025 12:37:33,Surprise,34.01,Entrance,
3/27/2025 12:39:33,Happy,30.2,Entrance,
3/27/2025 12:41:14,Neutral,0,Entrance,
3/27/2025 12:41:43,Happy,45.19,Entrance,
3/27/2025 12:43:12,Neutral,0,Entrance,
3/27/2025 12:45:13,Happy,36.54,Gallery 1,
3/27/2025 14:05:15,Neutral,0,Entrance,
3/27/2025 14:05:16,Neutral,0,Entrance,
3/27/2025 14:05:28,Fear,39.79,Gallery 1,
3/27/2025 16:08:25,Neutral,0,Entrance,
3/27/2025 16:08:25,Neutral,0,Entrance,
3/27/2025 16:08:34,Fear,39.79,Entrance,
3/28/2025 6:42:39,Neutral,0,Entrance,
3/28/2025 6:42:59,Fear,32.37,Entrance,
3/28/2025 6:45:58,Neutral,0,Entrance,
3/28/2025 10:33:09,Neutral,0,Entrance,
3/28/2025 11:46:43,Neutral,0,Entrance,
3/28/2025 11:47:44,Neutral,0,Entrance,
3/29/2025 8:48:10,Neutral,0,Entrance,
3/30/2025 17:09:13,Neutral,0,Entrance,
3/30/2025 17:11:10,Neutral,0,Entrance,
3/30/2025 17:13:15,Neutral,0,Entrance,
3/30/2025 17:13:25,Fear,35.06,Entrance,
3/30/2025 17:13:39,Happy,45.76,Gallery 1,
3/31/2025 10:21:24,Neutral,0,Entrance,
3/31/2025 10:21:24,Neutral,0,Entrance,
3/31/2025 10:22:00,Fear,40.74,Entrance,
4/1/2025 12:04:01,Neutral,0,Entrance,
4/1/2025 12:04:01,Neutral,0,Entrance,
4/1/2025 12:04:23,Fear,40.74,Entrance,
4/1/2025 12:09:42,Neutral,0,Entrance,
4/1/2025 12:09:42,Neutral,0,Entrance,
4/1/2025 12:09:55,Fear,40.74,Entrance,
4/1/2025 12:12:27,Neutral,0,Entrance,
4/1/2025 12:12:27,Neutral,0,Entrance,
4/1/2025 12:12:38,Fear,40.74,Entrance,
4/1/2025 12:15:40,Neutral,0,Entrance,
4/1/2025 12:15:40,Neutral,0,Entrance,
4/1/2025 12:18:41,Neutral,0,Entrance,
4/1/2025 12:18:41,Neutral,0,Entrance,
4/1/2025 12:26:19,Neutral,0,Entrance,
4/1/2025 12:26:20,Neutral,0,Entrance,
4/1/2025 12:26:39,Neutral,0,Entrance,
4/1/2025 12:26:39,Neutral,0,Entrance,
4/1/2025 12:28:28,Neutral,0,Entrance,
4/1/2025 12:28:28,Neutral,0,Entrance,
4/1/2025 12:31:00,Neutral,0,Entrance,
4/1/2025 12:31:00,Neutral,0,Entrance,
4/1/2025 12:31:30,Neutral,0,Entrance,
4/1/2025 12:31:30,Neutral,0,Entrance,
4/1/2025 12:32:11,Neutral,0,Entrance,
4/1/2025 12:32:12,Neutral,0,Entrance,
4/1/2025 12:32:41,Neutral,0,Entrance,
4/1/2025 12:32:41,Neutral,0,Entrance,
4/1/2025 12:33:25,Neutral,0,Entrance,
4/1/2025 12:33:25,Neutral,0,Entrance,
4/1/2025 12:34:15,Neutral,0,Entrance,
4/1/2025 12:34:15,Neutral,0,Entrance,
4/1/2025 12:36:05,Neutral,0,Entrance,
4/1/2025 12:36:06,Neutral,0,Entrance,
4/1/2025 12:38:17,Fear,40.74,Gallery 3,
4/1/2025 12:42:11,Neutral,0,Entrance,
4/1/2025 12:42:13,Fear,40.74,Entrance,
4/1/2025 12:42:29,Neutral,0,Entrance,
4/1/2025 12:42:29,Fear,40.74,Entrance,
4/1/2025 12:42:29,Neutral,0,Entrance,
4/1/2025 12:46:34,Neutral,0,Entrance,
4/1/2025 12:46:35,Fear,39.79,Entrance,
4/1/2025 12:48:35,Surprise,35.27,Gallery 2,
4/1/2025 12:50:04,Neutral,31.03,Restrooms,
4/1/2025 12:50:35,Happy,37.02,Gallery 1,
4/1/2025 12:50:50,Surprise,30.32,Entrance,
4/1/2025 12:55:04,Neutral,0,Entrance,
4/1/2025 12:55:05,Neutral,0,Entrance,
4/1/2025 12:55:34,Neutral,0,Entrance,
4/1/2025 12:55:35,Neutral,0,Entrance,
4/1/2025 13:00:47,Neutral,0,Gallery 1,
4/1/2025 13:00:48,Neutral,0,Gallery 1,
4/1/2025 13:02:42,Neutral,0,Entrance,
4/1/2025 13:02:42,Neutral,0,Entrance,
4/1/2025 13:03:10,Neutral,0,Entrance,
4/1/2025 13:03:11,Neutral,0,Entrance,
4/1/2025 13:03:29,Neutral,0,Entrance,
4/1/2025 13:03:29,Neutral,0,Entrance,
4/1/2025 13:04:30,Neutral,0,Entrance,
4/1/2025 13:04:30,Neutral,0,Entrance,
4/1/2025 13:04:30,Neutral,0,Entrance,
4/1/2025 13:04:50,Neutral,0,Entrance,
4/1/2025 13:04:52,Fear,32.45,Entrance,
4/1/2025 13:04:52,Neutral,0,Entrance,
4/1/2025 13:05:22,Angry,42.48,Entrance,
